,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.1937799043062201,0.08813700918964076,0.09048663324979114,0.17464114832535885,0.08639021796916532,0.0878189792663477,0.13875598086124402,0.07884768740031897,0.07914673046251992
test_split_2,0.17822966507177032,0.09397176653755601,0.09745053922685502,0.16267942583732056,0.09484649122807016,0.095414673046252,0.15669856459330145,0.09370015948963317,0.09409888357256777
test_split_3,0.20933014354066987,0.09636823728694029,0.10129727728411939,0.17105263157894737,0.09355728335991495,0.09655103668261564,0.16028708133971292,0.09230462519936203,0.09409888357256777
test_split_4,0.17464114832535885,0.09002313232576391,0.09348370927318296,0.16028708133971292,0.09036582934609251,0.0916866028708134,0.15669856459330145,0.09051036682615629,0.09090909090909091
test_split_5,0.18421052631578946,0.0946743143030737,0.09747237411711095,0.16985645933014354,0.09451920520999467,0.09547448165869218,0.1638755980861244,0.09360047846889952,0.09409888357256777
test_split_6,0.17583732057416268,0.08628295407078301,0.08986149084833295,0.15550239234449761,0.08535851940457204,0.08716108452950559,0.1519138755980861,0.08572567783094098,0.08632376395534289
test_split_7,0.26913875598086123,0.1186584595959596,0.1248177261335156,0.22009569377990432,0.11530768208399786,0.11844098883572568,0.173444976076555,0.10645933014354067,0.10725677830940988
test_split_8,0.18660287081339713,0.09327888850915167,0.09642145135566188,0.173444976076555,0.0932017543859649,0.09463716108452952,0.16507177033492823,0.09210526315789473,0.09290271132376395
test_split_9,0.24641148325358853,0.10311740525556316,0.10709396597554492,0.20933014354066987,0.10078748006379584,0.10259170653907496,0.16626794258373206,0.09210526315789473,0.09230462519936203
test_split_10,0.1901913875598086,0.08867196400091137,0.09095228601807549,0.15430622009569378,0.08567749867091973,0.08634370015948964,0.1423444976076555,0.08313397129186603,0.08353269537480064
