,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.031100478023290634,0.07896245270967484,0.031100478023290634,0.04227868467569351
test_split_2,0.08732058107852936,0.10408463329076767,0.08732058107852936,0.08264057338237762
test_split_3,0.023923445492982864,0.04813310131430626,0.023923445492982864,0.030682679265737534
test_split_4,0.0275119598954916,0.08145932853221893,0.0275119598954916,0.03937889263033867
test_split_5,0.0466507151722908,0.04502963274717331,0.0466507151722908,0.040260445326566696
test_split_6,0.021531101316213608,0.05197200924158096,0.021531101316213608,0.029726069420576096
test_split_7,0.06459330022335052,0.08780720084905624,0.06459330022335052,0.062280669808387756
test_split_8,0.029904305934906006,0.05098907649517059,0.029904305934906006,0.03452802449464798
test_split_9,0.051435407251119614,0.0547206737101078,0.051435407251119614,0.03669770807027817
test_split_10,0.0466507151722908,0.07175924628973007,0.0466507151722908,0.05117981880903244
