,Hit@10,MAP@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.23086124401913877,0.12136733880154932,0.12136733880154932,0.2069377990430622,0.11818181818181818,0.11818181818181818,0.11961722488038277,0.09688995215311005,0.09688995215311005
test_split_2,0.2727272727272727,0.12227063871800714,0.12227063871800714,0.18779904306220097,0.1130980861244019,0.1130980861244019,0.15669856459330145,0.10586124401913875,0.10586124401913875
test_split_3,0.24641148325358853,0.13730965671755146,0.13730965671755146,0.21770334928229665,0.1334529505582137,0.1334529505582137,0.19138755980861244,0.12759170653907495,0.12759170653907495
test_split_4,0.21889952153110048,0.117268550163287,0.117268550163287,0.19497607655502391,0.11371610845295055,0.11371610845295055,0.17464114832535885,0.10905103668261562,0.10905103668261562
test_split_5,0.23684210526315788,0.12579934685197844,0.12579934685197844,0.19497607655502391,0.12019537480063797,0.12019537480063797,0.14114832535885166,0.1074561403508772,0.1074561403508772
test_split_6,0.21889952153110048,0.1050875294296347,0.1050875294296347,0.16267942583732056,0.09647129186602872,0.09647129186602872,0.10526315789473684,0.08253588516746412,0.08253588516746412
test_split_7,0.24282296650717702,0.14285714285714285,0.14285714285714285,0.21889952153110048,0.13977272727272727,0.13977272727272727,0.19856459330143542,0.13516746411483255,0.13516746411483255
test_split_8,0.215311004784689,0.12012607275765169,0.12012607275765169,0.19736842105263158,0.11776315789473683,0.11776315789473683,0.1722488038277512,0.1118421052631579,0.1118421052631579
test_split_9,0.21291866028708134,0.11374221538695221,0.11374221538695221,0.1901913875598086,0.11080542264752792,0.11080542264752792,0.15550239234449761,0.10267145135566187,0.10267145135566187
test_split_10,0.2117224880382775,0.11352671451355661,0.11352671451355661,0.18660287081339713,0.11004784688995216,0.11004784688995216,0.15789473684210525,0.1034688995215311,0.1034688995215311
