,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.08373206853866577,0.02538587525486946,0.08373206853866577,0.0374201200902462
test_split_2,0.09090909361839294,0.03447577729821205,0.09090909361839294,0.044463831931352615
test_split_3,0.1016746386885643,0.040244657546281815,0.1016746386885643,0.05548154562711716
test_split_4,0.08612441271543503,0.025956952944397926,0.08612441271543503,0.038829874247312546
test_split_5,0.1016746461391449,0.048858512192964554,0.1016746461391449,0.052638940513134
test_split_6,0.09569378942251205,0.046650368720293045,0.09569378942251205,0.05351962521672249
test_split_7,0.10526316612958908,0.048704907298088074,0.10526316612958908,0.05661416053771973
test_split_8,0.10645933449268341,0.0664433017373085,0.10645933449268341,0.0751575455069542
test_split_9,0.11124402284622192,0.05462334305047989,0.11124402284622192,0.06095639243721962
test_split_10,0.09808614104986191,0.03740358352661133,0.09808614104986191,0.04611781984567642
