,Hit@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.15430622009569378,0.06402464494569757,0.11244019138755981,0.058692185007974476,0.05861244019138756,0.10167464114832536,0.05631977671451355,0.056220095693779906
test_split_2,0.13995215311004786,0.06697045644414065,0.1255980861244019,0.06496212121212121,0.06513157894736843,0.11483253588516747,0.06259968102073364,0.06279904306220095
test_split_3,0.145933014354067,0.06375645553277133,0.12081339712918661,0.05970893141945773,0.06046650717703349,0.11244019138755981,0.05861244019138756,0.05861244019138756
test_split_4,0.145933014354067,0.06325377838535733,0.11483253588516747,0.05939992025518341,0.05927033492822966,0.10406698564593302,0.056917862838915464,0.056818181818181816
test_split_5,0.17105263157894737,0.07232332725753778,0.12799043062200957,0.06594564061669325,0.06676634768740032,0.11961722488038277,0.064792663476874,0.064792663476874
test_split_6,0.13516746411483255,0.06484914938862307,0.1255980861244019,0.06343700159489633,0.06371610845295056,0.11483253588516747,0.061004784688995214,0.06120414673046252
test_split_7,0.17942583732057416,0.0784242803979646,0.13636363636363635,0.0720361509835194,0.07300637958532695,0.12679425837320574,0.0708732057416268,0.07097288676236044
test_split_8,0.17464114832535885,0.06942545758335232,0.1291866028708134,0.06385566188197767,0.0638157894736842,0.11961722488038277,0.06160287081339712,0.06160287081339713
test_split_9,0.17583732057416268,0.07317536264904685,0.13157894736842105,0.06721158958001063,0.06766347687400319,0.12679425837320574,0.06668660287081339,0.06658692185007974
test_split_10,0.13157894736842105,0.06637996506417558,0.11961722488038277,0.06440390749601275,0.06471291866028707,0.11124401913875598,0.06279904306220095,0.06279904306220095
