,Accuracy (weighted),Precision (weighted),Recall (weighted),F1 (weighted)
test_split_1,0.038277510553598404,0.08789018541574478,0.038277510553598404,0.04498720541596413
test_split_2,0.03468899428844452,0.07607981562614441,0.03468899428844452,0.041633378714323044
test_split_3,0.051435403525829315,0.07462378591299057,0.051435403525829315,0.05738706886768341
test_split_4,0.031100478023290634,0.05174349248409271,0.031100478023290634,0.03517122194170952
test_split_5,0.03588516637682915,0.0660683661699295,0.03588516637682915,0.04242835193872452
test_split_6,0.044258370995521545,0.06333397328853607,0.044258370995521545,0.04796719178557396
test_split_7,0.08732058107852936,0.08143562823534012,0.08732058107852936,0.08325139433145523
test_split_8,0.03349282220005989,0.05103810504078865,0.03349282220005989,0.03765283524990082
test_split_9,0.0047846888191998005,0.016746412962675095,0.0047846888191998005,0.007199818268418312
test_split_10,0.06698565185070038,0.08548801392316818,0.06698565185070038,0.0711415708065033
