,Hit@10,MRR@10,Hit@5,MAP@5,MRR@5,Hit@3,MAP@3,MRR@3
test_split_1,0.27751196172248804,0.11599025974025973,0.1674641148325359,0.10059808612440191,0.10059808612440191,0.11244019138755981,0.08851674641148326,0.08851674641148326
test_split_2,0.27870813397129185,0.08564403432824484,0.1423444976076555,0.0668859649122807,0.0668859649122807,0.07535885167464115,0.0516347687400319,0.0516347687400319
test_split_3,0.3145933014354067,0.13618658388395233,0.19258373205741627,0.11738437001594895,0.11738437001594895,0.1638755980861244,0.11104465709728865,0.11104465709728865
test_split_4,0.27392344497607657,0.09567241968557759,0.1303827751196172,0.07747208931419458,0.07747208931419458,0.0861244019138756,0.06658692185007974,0.06658692185007974
test_split_5,0.3133971291866029,0.12042748917748919,0.1722488038277512,0.10267145135566187,0.10267145135566187,0.11483253588516747,0.08891547049441788,0.08891547049441788
test_split_6,0.291866028708134,0.11215681248575983,0.1519138755980861,0.09276315789473684,0.09276315789473684,0.10645933014354067,0.0819377990430622,0.0819377990430622
test_split_7,0.2822966507177033,0.10112402217665374,0.22966507177033493,0.09389952153110048,0.09389952153110048,0.145933014354067,0.0735645933014354,0.0735645933014354
test_split_8,0.26674641148325356,0.11138309789625579,0.15669856459330145,0.09443779904306218,0.09443779904306218,0.13157894736842105,0.08851674641148326,0.08851674641148326
test_split_9,0.2930622009569378,0.10092845750740487,0.24162679425837322,0.09417862838915471,0.09417862838915471,0.11124401913875598,0.06738437001594896,0.06738437001594896
test_split_10,0.27392344497607657,0.10527929672666515,0.13157894736842105,0.08361244019138755,0.08361244019138755,0.12200956937799043,0.08133971291866028,0.08133971291866028
